,datetime,avg_price
0,2019-12-24,130.0
1,2019-12-25,130.0
2,2019-12-26,130.0
3,2019-12-27,132.0
4,2019-12-28,128.0
5,2019-12-29,134.5
6,2019-12-30,135.0
7,2019-12-31,135.0
8,2020-01-01,140.0
9,2020-01-02,139.5
10,2020-01-03,137.0
11,2020-01-04,139.0
12,2020-01-05,139.5
13,2020-01-06,138.0
14,2020-01-07,141.5
15,2020-01-08,140.0
16,2020-01-09,142.0
17,2020-01-10,145.0
18,2020-01-11,145.5
19,2020-01-12,140.0
20,2020-01-13,142.5
21,2020-01-14,140.0
22,2020-01-15,149.5
23,2020-01-16,145.0
24,2020-01-17,144.5
25,2020-01-18,147.0
26,2020-01-19,149.0
27,2020-01-20,149.0
28,2020-01-21,145.0
29,2020-01-22,147.5
30,2020-01-23,148.5
31,2020-01-24,147.5
32,2020-01-25,146.0
33,2020-01-26,147.0
34,2020-01-27,149.0
35,2020-01-28,150.0
36,2020-01-29,157.0
37,2020-01-30,154.5
38,2020-01-31,150.0
39,2020-02-01,150.0
40,2020-02-02,157.0
41,2020-02-03,150.0
42,2020-02-04,153.0
43,2020-02-05,147.5
44,2020-02-06,157.5
45,2020-02-07,155.0
46,2020-02-08,152.5
47,2020-02-09,149.5
48,2020-02-10,157.5
49,2020-02-11,150.0
50,2020-02-12,159.0
51,2020-02-13,157.0
52,2020-02-14,150.0
53,2020-02-15,137.5
54,2020-02-16,147.0
55,2020-02-17,150.0
56,2020-02-18,150.0
57,2020-02-19,149.0
58,2020-02-20,149.0
59,2020-02-21,147.5
60,2020-02-22,148.5
61,2020-02-23,146.5
62,2020-02-24,148.5
63,2020-02-25,149.5
64,2020-02-26,147.5
65,2020-02-27,150.0
66,2020-02-28,147.5
67,2020-02-29,149.0
68,2020-03-01,149.0
69,2020-03-02,150.0
70,2020-03-03,150.0
71,2020-03-04,150.0
72,2020-03-05,152.5
73,2020-03-06,150.0
74,2020-03-07,150.0
75,2020-03-08,156.5
76,2020-03-09,157.5
77,2020-03-10,156.5
78,2020-03-11,159.5
79,2020-03-12,157.0
80,2020-03-13,151.0
81,2020-03-14,153.0
82,2020-03-15,154.5
83,2020-03-16,157.5
84,2020-03-17,156.5
85,2020-03-18,151.5
86,2020-03-19,159.0
87,2020-03-20,155.0
88,2020-03-21,154.5
